time	rv	err
2458652.5	9.496501556559634	0.3
2458689.0	6.986603248959011	0.3
2458725.5	4.730854056191852	0.3
2458762.0	8.889401391499874	0.3
2458798.5	3.347248631271407	0.3
2458835.0	10.073024895638103	0.3
2458871.5	8.72643580177575	0.3
2458908.0	4.744417311167308	0.3
2458944.5	7.9225402507198055	0.3
2458981.0	4.700279055111577	0.3
2459017.5	4.174099733445357	0.3
2459054.0	5.345281355299376	0.3
2459090.5	5.814292808992205	0.3
2459127.0	3.0576779229364037	0.3
2459163.5	2.2247858413080976	0.3
2459200.0	3.811225317427015	0.3
2459236.5	5.526340568432262	0.3
2459273.0	7.509729014772402	0.3
2459309.5	5.7821982648537675	0.3
2459346.0	4.798677151474114	0.3
2459382.5	7.119787904455921	0.3
2459419.0	6.04638098944614	0.3
2459455.5	6.837030896558128	0.3
2459492.0	7.426669762770536	0.3
2459528.5	8.014012314680167	0.3
2459565.0	6.94220249340674	0.3
2459601.5	3.690743568486128	0.3
2459638.0	6.295980980334029	0.3
2459674.5	2.3230148992783874	0.3
2459711.0	-0.2807346255032033	0.3
2459747.5	8.14923665158153	0.3
2459784.0	3.5156866217787526	0.3
2459820.5	-1.2189301808822863	0.3
2459857.0	-0.07265059752302849	0.3
2459893.5	-0.6563434384848539	0.3
2459930.0	-3.8802259462733026	0.3
2459966.5	-5.224849709784172	0.3
2460003.0	-10.652137016252299	0.3
2460039.5	-5.927438505767983	0.3
2460076.0	-8.37747043360072	0.3
2460112.5	-11.332781884368458	0.3
2460149.0	-9.59110242922117	0.3
2460185.5	-12.192315417270276	0.3
2460222.0	-11.911778627883828	0.3
2460258.5	-14.279419006448117	0.3
2460295.0	-14.937824661545491	0.3
2460331.5	-13.334988546789159	0.3
2460368.0	-13.279666052332967	0.3
2460404.5	-11.849922151703721	0.3
2460441.0	-17.190076226550666	0.3
