time	rv	err
2455000.0	6.520490246128645	1.0
2455024.35	3.116033366144233	1.0
2455048.7	4.925424632504892	1.0
2455073.05	-0.3260741179997739	1.0
2455097.4	-1.1222529339533858	1.0
2455121.75	2.8250464601023273	1.0
2455146.1	3.657507959607007	1.0
2455170.45	6.596847908153965	1.0
2455194.8	1.4831594988646815	1.0
2455219.15	7.968457263624504	1.0
2455243.5	9.666033428503324	1.0
2455267.85	5.877754590607596	1.0
2455292.2	6.211803254557073	1.0
2455316.55	8.54346114533527	1.0
2455340.9	2.689030101436172	1.0
2455365.25	13.47972183775039	1.0
2455389.6	6.486171307733898	1.0
2455413.95	12.645790764357537	1.0
2455438.3	8.140959379037959	1.0
2455462.65	10.159724444380297	1.0
2455487.0	11.03712457796903	1.0
2455511.35	8.926491861282877	1.0
2455535.7	8.496641224564348	1.0
2455560.05	13.864040507666651	1.0
2455584.4	15.597711811952692	1.0
2455608.75	12.58945493039557	1.0
2455633.1	13.874657934920087	1.0
2455657.45	16.554961767833067	1.0
2455681.8	16.536957102546285	1.0
2455706.15	17.648078117557073	1.0
2455730.5	14.042301202085296	1.0
2455754.85	19.0123972163061	1.0
2455779.2	18.742402601020338	1.0
2455803.55	15.052977013497514	1.0
2455827.9	19.371544062229834	1.0
2455852.25	15.611157090685364	1.0
2455876.6	12.011185804599982	1.0
2455900.95	12.608938530554374	1.0
2455925.3	19.017166252205456	1.0
2455949.65	12.779555140095638	1.0
2455974.0	13.178057159017886	1.0
2455998.35	13.967024630098356	1.0
2456022.7	15.122637213157507	1.0
2456047.05	10.888102875347899	1.0
2456071.4	11.840188402081385	1.0
2456095.75	13.460415229824969	1.0
2456120.1	10.05942117483617	1.0
2456144.45	13.35979498714922	1.0
2456168.8	10.202491905250362	1.0
2456193.15	7.411959246013834	1.0
2456217.5	8.62822702180348	1.0
2456241.85	7.447099819016624	1.0
2456266.2	-1.0440689139878678	1.0
2456290.55	8.129428549943384	1.0
2456314.9	-1.8417898643705746	1.0
2456339.25	-2.2350294114435414	1.0
2456363.6	-0.26473974628103414	1.0
2456387.95	-2.0329271207032735	1.0
2456412.3	0.3466788102001631	1.0
2456436.65	-1.599268509070654	1.0
2456461.0	-2.4912520076149436	1.0
2456485.35	-4.719498850988573	1.0
2456509.7	-1.8617731652506444	1.0
2456534.05	-3.1106146024180026	1.0
2456558.4	-1.9734036454036448	1.0
2456582.75	-4.309688113674597	1.0
2456607.1	-6.289785787116408	1.0
2456631.45	-3.036684614611379	1.0
2456655.8	0.21126133833741356	1.0
2456680.15	-2.039066433491884	1.0
2456704.5	-3.444455479731734	1.0
2456728.85	-7.3951173504490635	1.0
2456753.2	-3.235889040635966	1.0
2456777.55	-5.27423300709836	1.0
2456801.9	-2.5053270497799836	1.0
2456826.25	-3.966060502925526	1.0
2456850.6	-5.923149328927926	1.0
2456874.95	-2.935828659515113	1.0
2456899.3	-7.833994306739289	1.0
2456923.65	-7.186156151707777	1.0
2456948.0	-2.342887261814637	1.0
2456972.35	-10.197660561280635	1.0
2456996.7	-7.315730701988976	1.0
2457021.05	-8.67556590765319	1.0
2457045.4	-6.362583779790802	1.0
2457069.75	-7.245604681902311	1.0
2457094.1	-2.0021034501533275	1.0
2457118.45	-2.3969919769860626	1.0
2457142.8	-9.157095825817077	1.0
2457167.15	-6.983802034171258	1.0
2457191.5	-9.373499644546591	1.0
2457215.85	-9.562994660398116	1.0
2457240.2	-9.455448558739105	1.0
2457264.55	-5.833195184103722	1.0
2457288.9	-9.858039975497	1.0
2457313.25	-10.342008847763859	1.0
2457337.6	-8.161192759403617	1.0
2457361.95	-11.74345803969533	1.0
2457386.3	-13.65294157807182	1.0
2457410.65	-15.263746141301336	1.0
2457435.0	-12.006157640783647	1.0
2457459.35	-13.939957125881405	1.0
2457483.7	-13.01598243743466	1.0
2457508.05	-12.959951262380757	1.0
2457532.4	-16.295627892640297	1.0
2457556.75	-13.588353578010476	1.0
2457581.1	-13.575088519116811	1.0
2457605.45	-16.353191332526848	1.0
2457629.8	-17.530323310626848	1.0
2457654.15	-14.763407540958104	1.0
2457678.5	-14.51922107076871	1.0
2457702.85	-12.544784545273403	1.0
2457727.2	-13.900670910713902	1.0
2457751.55	-16.25575863403604	1.0
2457775.9	-12.42558175882993	1.0
2457800.25	-16.122633391313023	1.0
2457824.6	-8.370167256193172	1.0
2457848.95	-11.923936401563246	1.0
2457873.3	-14.741007941098928	1.0
2457897.65	-9.518603060066198	1.0
2457922.0	-10.280985132473928	1.0
2457946.35	-13.150589820248307	1.0
2457970.7	-10.093272987316253	1.0
2457995.05	-10.218682765893066	1.0
2458019.4	-5.4424826833539	1.0
2458043.75	-5.975359045898781	1.0
2458068.1	-4.294308077754381	1.0
2458092.45	-1.854044764432013	1.0
