  2453752.90723    4.03    1.00
  2453790.22729   -0.71    1.00
  2453826.44434   -1.72    1.00
  2453862.23999   -4.50    1.00
  2453900.43042   -5.97    1.00
  2453935.65234   -7.49    1.00
  2453973.39111   -7.83    1.00
  2454011.38135   -7.97    1.00
  2454046.47510   -9.33    1.00
  2454083.10498   -7.41    1.00
  2454118.50146   -8.23    1.00
  2454154.61133   -4.89    1.00
  2454192.49512   -5.69    1.00
  2454228.61963   -2.85    1.00
  2454266.17480   -1.46    1.00
  2454302.61230    0.07    1.00
  2454336.22852    0.93    1.00
  2454374.59717    3.05    1.00
  2454410.16797    5.53    1.00
  2454446.91357    5.94    1.00
  2454483.68848    8.47    1.00
  2454521.15723   11.45    1.00
  2454558.72021   14.62    1.00
  2454593.48975   14.04    1.00
  2454631.04346   15.46    1.00
  2454667.47998   18.87    1.00
  2454703.19482   18.31    1.00
  2454737.86865   20.30    1.00
  2454776.74512   19.78    1.00
  2454812.34570   20.72    1.00
  2454849.86865   24.54    1.00
  2454886.87451   22.78    1.00
  2454922.47852   23.44    1.00
  2454959.02344   21.79    1.00
  2454995.46143   22.35    1.00
  2455032.20752   20.39    1.00
  2455069.12695   19.01    1.00
  2455104.53760   15.59    1.00
  2455141.52979   15.07    1.00
  2455178.56982    9.45    1.00
  2455212.23828    7.26    1.00
  2455251.80371    7.28    1.00
  2455288.17773    2.81    1.00
  2455325.23340   -0.55    1.00
  2455361.15381   -1.46    1.00
  2455395.80518   -2.05    1.00
  2455432.99316   -5.25    1.00
  2455470.32568   -4.09    1.00
  2455507.34766   -8.06    1.00
  2455543.53955   -5.58    1.00
  2455580.73486   -5.72    1.00
  2455616.38281   -5.59    1.00
  2455653.99072   -4.13    1.00
  2455688.37256   -4.60    1.00
  2455725.43945   -3.42    1.00
  2455763.39795   -3.09    1.00
  2455798.75684   -1.47    1.00
  2455835.49951   -2.29    1.00
  2455872.22168    0.68    1.00
  2455910.37451    0.89    1.00
  2455946.20215    2.58    1.00
  2455981.08838    4.46    1.00
  2456018.87109    4.40    1.00
  2456053.56055    6.01    1.00
  2456091.43066    6.41    1.00
  2456126.77002    8.73    1.00
  2456163.48145    9.91    1.00
  2456200.64990   11.24    1.00
  2456238.08838    9.98    1.00
  2456276.08740   10.62    1.00
  2456310.03125   11.15    1.00
  2456347.45654   11.10    1.00
  2456382.89404   10.06    1.00
  2456418.65723    7.83    1.00
  2456456.38574    6.36    1.00
  2456494.06445    6.32    1.00
  2456530.28320    2.16    1.00
  2456567.46924    1.70    1.00
  2456602.60205   -1.07    1.00
  2456640.26123   -4.95    1.00
  2456675.29639   -6.20    1.00
  2456713.69629  -10.67    1.00
  2456748.74609  -12.17    1.00
  2456784.54883  -14.78    1.00
  2456820.70703  -15.73    1.00
  2456859.14844  -17.55    1.00
  2456897.24561  -18.35    1.00
  2456931.20117  -17.07    1.00
  2456967.97900  -20.26    1.00
  2457005.01807  -18.61    1.00
  2457040.43799  -20.10    1.00
  2457077.57812  -19.61    1.00
  2457115.65137  -18.20    1.00
  2457151.11523  -16.66    1.00
  2457186.78613  -16.89    1.00
  2457222.28613  -16.54    1.00
  2457259.46191  -13.51    1.00
  2457296.91797  -11.54    1.00
  2457333.19434  -10.02    1.00
  2457370.27441   -9.41    1.00
  2457406.47754   -9.39    1.00
  2457442.25879   -4.38    1.00
  2457478.81836   -3.17    1.00
  2457515.97949   -2.33    1.00
  2457552.35449   -1.80    1.00
  2457589.66943    1.04    1.00
  2457626.64893    2.62    1.00
  2457662.94775    4.16    1.00
  2457698.38525    4.65    1.00
  2457736.19189    4.85    1.00
  2457770.43066    5.74    1.00
  2457807.50000    3.64    1.00
  2457846.07568    5.95    1.00
  2457880.29150    5.41    1.00
  2457918.78076    4.53    1.00
  2457952.43896    2.66    1.00
  2457989.58545    0.17    1.00
  2458027.59863   -2.38    1.00
  2458063.80029   -2.95    1.00
  2458100.78662   -5.09    1.00
  2458137.36523   -6.99    1.00
  2458172.45752  -11.82    1.00
  2458211.07520  -10.23    1.00
  2458245.52148  -11.18    1.00
  2458283.92090  -13.09    1.00
  2458318.61914  -13.75    1.00
  2458358.00000  -16.19    1.00
  2458394.33398  -13.14    1.00
  2458430.35547  -14.64    1.00
  2458464.87500  -12.51    1.00
  2458502.99805  -13.57    1.00
  2458538.97949  -11.15    1.00
  2458575.36328  -10.34    1.00
  2458611.04883   -7.48    1.00
  2458649.09277   -4.65    1.00
  2458684.65137   -3.99    1.00
  2458722.61230   -1.75    1.00
  2458758.72852    1.11    1.00
  2458794.82324    1.78    1.00
  2458829.47168    4.92    1.00
  2458869.41602    6.25    1.00
  2458904.28418    6.67    1.00
  2458941.85938    9.79    1.00
  2458977.33691   13.33    1.00
  2459013.09766   13.69    1.00
  2459050.72559   14.93    1.00
  2459086.14355   15.67    1.00
  2459125.15039   19.13    1.00
  2459159.29980   17.33    1.00
  2459196.28906   19.16    0.30
  2459232.21582   20.08    0.30
  2459270.08789   20.26    0.30
  2459306.51758   19.57    0.30
  2459342.38770   18.27    0.30
  2459378.54492   17.25    0.30
  2459416.29102   16.02    0.30
  2459453.85156   13.60    0.30
  2459488.39941   11.64    0.30
  2459523.18066    9.11    0.30
  2459561.03516    7.30    0.30
  2459597.81348    4.29    0.30
  2459633.62305    2.78    0.30
  2459671.03711    0.37    0.30
  2459709.70898   -1.52    0.30
  2459745.29785   -2.88    0.30
  2459780.39160   -3.51    0.30
  2459817.72852   -4.46    0.30
  2459851.51172   -4.48    0.30
  2459891.42676   -4.36    0.30
  2459928.89551   -5.03    0.30
  2459963.22754   -4.18    0.30
  2460000.79883   -3.03    0.30
  2460037.04492   -2.18    0.30
  2460072.42969   -1.21    0.30
  2460109.83887    0.09    0.30
  2460144.65332    1.22    0.30
  2460183.46680    2.71    0.30
  2460218.68945    4.15    0.30
  2460255.24805    4.82    0.30
  2460293.67383    6.31    0.30
  2460327.99609    7.98    0.30
  2460363.97949    8.95    0.30
  2460401.38086    9.44    0.30
  2460438.49707   10.78    0.30
  2460474.88574   12.01    0.30
  2460510.53320   12.56    0.30
  2460546.53711   13.26    0.30
  2460585.09668   13.65    0.30
  2460620.89062   14.21    0.30
  2460656.92480   14.06    0.30
